Portfolio,CUSIP,Ticket,Maturity Date,Pledge ID,Pledge Description,Pledge Amount,Par Value,Market Value,Group,Security Description
Justin Investments LLC,20055,26116,10/3/2024,,,200000,150000,500000,MBS,Security Name
Justin Investments LLC,20066,12564,3/1/1946,,,210000,160000,5000000,MB2,Security Name
Justin Investments LLC,20077,24612,4/2/2029,,,200000,170000,20000,TRS,Security Name
Justin Investments LLC,20088,21341,10/3/2024,,,200000,180000,300000,MUN,Security Name
Justin Investments LLC,20099,28147,3/1/1946,,,200000,190000,250000,AGY,Security Name
Justin Investments LLC,20110,29627,4/2/2029,,,200000,200000,1034055,MB2,Security Name
Justin Investments LLC,20121,14072,10/3/2024,,,200000,210000,400322,MB3,Security Name
Justin Investments LLC,31318EAB6,17472,3/1/1946,,,200000,220000,1220000,TRS,Security Name
Justin Investments LLC,83162C587,29022,4/2/2029,,,200000,230000,15000000,TRS,Security Name
Justin Investments LLC,20154,26961,10/3/2024,,,200000,240000,12222,MBS,Security Name
Justin Investments LLC,20165,28374,3/1/1946,,,200000,250000,30000,MBS,Security Name
Justin Investments LLC,20176,19005,4/2/2029,,,200000,260000,222345,MB2,Security Name
Justin Investments LLC,20187,24166,10/3/2024,,,200000,270000,10101,TRS,Security Name
Justin Investments LLC,20187,12786,10/3/2024,,,200000,270000,433332,TRS,Security Name
