Portfolio,CUSIP,Ticket,Maturity Date,Pledge ID,Pledge Description,Pledge Amount,Par Value,Market Value,Group,Security Description
Justin Investments LLC,31318EAB1,14506,10/3/2024,,,200000,150000,6191377,MBS,Security Name
Justin Investments LLC,31318EAB0,16317,3/1/1946,,,210000,160000,6796869,MB2,Security Name
Justin Investments LLC,31318EAB1,14719,4/2/2029,,,200000,170000,3153482,TRS,Security Name
Justin Investments LLC,31318EAB2,10096,10/3/2024,10810,Cats R Us,200000,180000,6707527,MUN,Security Name
Justin Investments LLC,31318EAB3,16896,3/1/1946,,,200000,190000,570933,AGY,Security Name
Justin Investments LLC,31318EAB4,15851,4/2/2029,,,200000,200000,3343645,MB2,Security Name
Justin Investments LLC,31318EAB5,15513,10/3/2024,10810,Cats R Us,200000,210000,6216522,MB3,Security Name
Justin Investments LLC,31318EAB6,18949,3/1/1946,,,200000,220000,7095310,TRS,Security Name
Justin Investments LLC,83162C587,15421,4/2/2029,,,200000,230000,1367181,TRS,Security Name
Justin Investments LLC,83162C588,13243,10/3/2024,,,200000,240000,7036486,MBS,Security Name
Justin Investments LLC,83162C589,12651,3/1/1946,,,200000,250000,6870701,MBS,Security Name
Justin Investments LLC,83162C590,13821,3/1/1946,,,200000,260000,9403577,MB2,Security Name
Justin Investments LLC,83162C591,19941,4/2/2029,,,200000,270000,9145637,TRS,Security Name
Justin Investments LLC,83162C592,10669,10/3/2024,10810,Cats R Us,200000,270000,8696195,TRS,Security Name
Justin Investments LLC,83162C593,13155,3/1/1946,,,200000,270000,9887912,TRS,Security Name
Justin Investments LLC,83162C594,11835,4/2/2029,18733,Fake Name 6,200000,270000,5343561,TRS,Security Name
Justin Investments LLC,83162C595,18865,10/3/2024,,,200000,270000,8880765,TRS,Security Name
Justin Investments LLC,83162C596,12133,3/1/1946,21000,Ghost's Feed,200000,270000,6092669,TRS,Security Name
Justin Investments LLC,83162C597,12094,3/1/1946,,,200000,270000,7113594,TRS,Security Name
Justin Investments LLC,83162C598,16594,4/2/2029,18733,Fake Name 6,200000,270000,8373351,TRS,Security Name
Justin Investments LLC,83162C599,14278,10/3/2024,,,200000,270000,3746672,TRS,Security Name
Justin Investments LLC,83162C600,12801,3/1/1946,,,200000,270000,9325516,TRS,Security Name
Justin Investments LLC,83162C601,12084,4/2/2029,,,200000,270000,7717885,MB3,Security Name
Justin Investments LLC,83162C602,16645,10/3/2024,,,200000,270000,6616148,TRS,Security Name
Justin Investments LLC,83162C603,19969,3/1/1946,,,200000,270000,4060250,TRS,Security Name
Justin Investments LLC,83162C604,16943,3/1/1946,,,200000,270000,8537470,TRS,Security Name
Justin Investments LLC,83162C605,12026,4/2/2029,,,200000,270000,2720765,TRS,Security Name
Justin Investments LLC,83162C606,12905,10/3/2024,,,200000,270000,3817597,TRS,Security Name
Justin Investments LLC,83162C607,13856,3/1/1946,,,200000,270000,4623835,TRS,Security Name
Justin Investments LLC,83162C608,10673,4/2/2029,,,200000,270000,8052058,TRS,Security Name
Justin Investments LLC,83162C609,10400,10/3/2024,,,200000,270000,1495358,TRS,Security Name
Justin Investments LLC,83162C610,10512,3/1/1946,,,200000,270000,7496396,TRS,Security Name
Justin Investments LLC,83162C611,11398,3/1/1946,,,200000,270000,6692574,TRS,Security Name
Justin Investments LLC,83162C612,14590,4/2/2029,10640,New Company,200000,270000,6449117,MB4,Security Name
Justin Investments LLC,83162C613,17041,10/3/2024,,,200000,270000,421049,TRS,Security Name
Justin Investments LLC,83162C614,18307,3/1/1946,,,200000,270000,8077365,TRS,Security Name
Justin Investments LLC,83162C615,18479,4/2/2029,,,200000,270000,1364042,TRS,Security Name
Justin Investments LLC,83162C616,12386,10/3/2024,,,200000,270000,7137664,TRS,Security Name
Justin Investments LLC,83162C617,18276,3/1/1946,,,200000,270000,5973859,TRS,Security Name
Justin Investments LLC,83162C618,13313,4/2/2029,,,200000,270000,4293852,TRS,Security Name
Justin Investments LLC,83162C619,19768,10/3/2024,,,200000,270000,5326645,TRS,Security Name
Justin Investments LLC,83162C620,12230,3/1/1946,,,200000,270000,5827484,TRS,Security Name
Justin Investments LLC,83162C621,14279,3/1/1946,,,200000,270000,28533,TRS,Security Name
Justin Investments LLC,83162C622,12631,4/2/2029,,,200000,270000,2326384,TRS,Security Name
Justin Investments LLC,83162C623,16479,10/3/2024,,,200000,270000,7565369,MB5,Security Name
Justin Investments LLC,83162C624,13855,3/1/1946,,,200000,270000,3655508,TRS,Security Name
Justin Investments LLC,83162C625,19859,4/2/2029,,,200000,270000,9305862,TRS,Security Name
Justin Investments LLC,83162C626,19552,10/3/2024,,,200000,270000,9264409,TRS,Security Name
Justin Investments LLC,83162C627,17036,3/1/1946,,,200000,270000,9891074,TRS,Security Name
